date,% cloud cover,landsat
1984-05-02,0.12,landsat_5
1984-06-03,18.49,landsat_5
1984-06-19,0.0,landsat_5
1984-09-23,1.49,landsat_5
1984-10-09,47.1,landsat_5
1984-10-25,7.27,landsat_5
1984-11-10,46.36,landsat_5
1984-11-26,0.08,landsat_5
1985-01-29,0.11,landsat_5
1985-04-19,71.61,landsat_5
1985-06-22,1.53,landsat_5
1985-08-09,0.0,landsat_5
1985-10-12,0.0,landsat_5
1985-10-28,0.0,landsat_5
1986-01-16,16.37,landsat_5
1986-02-01,43.73,landsat_5
1986-05-24,58.07,landsat_5
1986-06-09,0.0,landsat_5
1986-06-25,65.34,landsat_5
1986-07-11,35.15,landsat_5
1986-08-12,20.3,landsat_5
1986-09-13,0.0,landsat_5
1986-10-15,0.0,landsat_5
1986-10-31,0.0,landsat_5
1987-01-03,57.67,landsat_5
1987-02-04,2.29,landsat_5
1987-02-20,0.06,landsat_5
1987-03-08,0.04,landsat_5
1987-03-24,0.0,landsat_5
1987-06-28,3.2,landsat_5
1987-08-31,4.2,landsat_5
1987-09-16,0.05,landsat_5
1987-10-02,34.19,landsat_5
1987-10-18,42.01,landsat_5
1987-11-19,0.0,landsat_5
1987-12-05,11.9,landsat_5
1988-01-06,0.0,landsat_5
1988-01-22,25.56,landsat_5
1988-04-27,1.35,landsat_5
1988-05-13,0.32,landsat_5
1988-06-14,3.13,landsat_5
1988-06-30,0.73,landsat_5
1988-07-16,32.89,landsat_5
1988-08-01,2.15,landsat_5
1988-09-02,0.0,landsat_5
1988-10-20,0.0,landsat_5
1988-11-05,36.77,landsat_5
1988-11-21,19.21,landsat_5
1989-01-24,0.15,landsat_5
1989-02-09,33.99,landsat_5
1989-02-25,70.63,landsat_5
1989-03-13,0.0,landsat_5
1989-04-14,16.26,landsat_5
1989-07-03,0.08,landsat_5
1989-07-19,78.57,landsat_5
1989-08-04,7.06,landsat_5
1989-08-20,48.4,landsat_5
1989-09-05,27.95,landsat_5
1989-10-07,0.0,landsat_5
1989-10-23,0.0,landsat_5
1989-11-08,73.26,landsat_5
1989-12-10,45.6,landsat_5
1990-05-03,0.03,landsat_5
1990-05-19,78.13,landsat_5
1990-07-06,31.6,landsat_5
1990-08-07,62.61,landsat_5
1990-09-08,2.1,landsat_5
1990-09-24,2.94,landsat_5
1990-10-10,0.57,landsat_5
1990-11-11,14.19,landsat_5
1990-12-13,2.61,landsat_5
1991-01-14,42.97,landsat_5
1991-04-04,0.24,landsat_5
1991-05-22,42.42,landsat_5
1991-06-07,0.05,landsat_5
1991-07-09,18.33,landsat_5
1991-08-26,23.24,landsat_5
1991-09-11,23.9,landsat_5
1991-09-27,0.0,landsat_5
1991-10-13,21.97,landsat_5
1991-10-29,0.37,landsat_5
1991-11-14,0.01,landsat_5
1991-12-16,0.43,landsat_5
1992-01-01,0.11,landsat_5
1992-02-02,0.07,landsat_5
1992-02-18,38.71,landsat_5
1992-03-05,74.82,landsat_5
1992-03-21,0.0,landsat_5
1992-04-06,72.57,landsat_5
1992-04-22,16.97,landsat_5
1992-05-24,0.06,landsat_5
1992-06-25,3.2,landsat_5
1992-07-11,18.9,landsat_5
1992-10-15,79.05,landsat_5
1992-11-16,0.06,landsat_5
1992-12-02,0.16,landsat_5
1992-12-18,0.13,landsat_5
1993-01-03,47.05,landsat_5
1993-01-19,0.3,landsat_5
1993-02-04,8.3,landsat_5
1993-02-20,0.14,landsat_5
1993-04-25,0.18,landsat_5
1993-05-11,2.78,landsat_5
1993-05-27,1.89,landsat_5
1993-06-12,23.44,landsat_5
1993-07-14,40.64,landsat_5
1993-07-30,0.06,landsat_5
1993-08-15,0.0,landsat_5
1993-08-31,0.0,landsat_5
1993-10-02,10.9,landsat_5
1993-10-18,3.88,landsat_5
1994-01-22,0.36,landsat_5
1994-02-07,0.08,landsat_5
1994-04-28,0.56,landsat_5
1994-05-14,8.26,landsat_5
1994-05-30,0.04,landsat_5
1994-07-01,0.44,landsat_5
1994-07-17,39.79,landsat_5
1994-08-18,7.79,landsat_5
1994-09-03,15.82,landsat_5
1994-09-19,0.0,landsat_5
1994-11-22,0.0,landsat_5
1994-12-08,0.28,landsat_5
1995-01-09,3.77,landsat_5
1995-01-25,2.39,landsat_5
1995-02-10,0.02,landsat_5
1995-02-26,50.25,landsat_5
1995-03-30,76.31,landsat_5
1995-04-15,48.78,landsat_5
1995-06-02,18.37,landsat_5
1995-06-18,0.57,landsat_5
1995-07-04,0.06,landsat_5
1995-07-20,6.15,landsat_5
1995-08-21,0.06,landsat_5
1995-09-06,0.0,landsat_5
1995-10-24,16.29,landsat_5
1995-11-09,0.15,landsat_5
1996-01-28,9.98,landsat_5
1996-02-29,0.0,landsat_5
1996-03-16,0.0,landsat_5
1996-04-17,57.57,landsat_5
1996-07-06,0.05,landsat_5
1996-07-22,0.15,landsat_5
1996-08-07,57.03,landsat_5
1996-11-11,20.15,landsat_5
1997-01-14,0.1,landsat_5
1997-01-30,61.82,landsat_5
1997-04-20,0.27,landsat_5
1997-05-22,46.88,landsat_5
1997-06-23,0.13,landsat_5
1997-07-09,51.24,landsat_5
1997-08-26,0.0,landsat_5
1997-09-27,4.22,landsat_5
1997-12-16,0.05,landsat_5
1998-01-01,0.09,landsat_5
1998-01-17,0.18,landsat_5
1998-02-02,0.0,landsat_5
1998-03-06,0.0,landsat_5
1998-04-07,0.0,landsat_5
1998-06-10,0.78,landsat_5
1998-06-26,36.31,landsat_5
1998-07-28,47.78,landsat_5
1998-08-13,5.71,landsat_5
1998-09-30,39.99,landsat_5
1998-10-16,0.0,landsat_5
1999-01-04,1.2,landsat_5
1999-01-20,40.21,landsat_5
1999-02-05,0.0,landsat_5
1999-02-21,58.73,landsat_5
1999-03-09,1.31,landsat_5
1999-03-25,1.68,landsat_5
1999-04-26,73.6,landsat_5
1999-05-12,0.0,landsat_5
1999-05-28,0.64,landsat_5
1999-06-29,72.77,landsat_5
1999-07-07,0.06,landsat_7
1999-07-15,0.21,landsat_5
1999-07-23,11.37,landsat_7
1999-07-31,25.91,landsat_5
1999-08-16,0.0,landsat_5
1999-09-01,32.27,landsat_5
1999-09-25,62.36,landsat_7
1999-10-03,30.9,landsat_5
1999-10-11,12.05,landsat_7
1999-10-19,0.72,landsat_5
1999-10-27,0.0,landsat_7
1999-11-04,0.06,landsat_5
1999-11-12,34.92,landsat_7
1999-11-28,0.22,landsat_7
1999-12-30,0.21,landsat_7
2000-01-15,0.09,landsat_7
2000-01-23,74.41,landsat_5
2000-01-31,63.0,landsat_7
2000-02-08,0.23,landsat_5
2000-03-03,0.23,landsat_7
2000-03-19,0.04,landsat_7
2000-03-27,0.3,landsat_5
2000-04-12,76.22,landsat_5
2000-04-20,20.88,landsat_7
2000-05-06,13.16,landsat_7
2000-05-14,0.03,landsat_5
2000-06-23,2.86,landsat_7
2000-07-01,0.08,landsat_5
2000-07-09,65.73,landsat_7
2000-08-10,0.24,landsat_7
2000-08-26,0.21,landsat_7
2000-09-03,38.24,landsat_5
2000-09-11,0.0,landsat_7
2000-09-27,0.0,landsat_7
2000-10-13,0.0,landsat_7
2000-10-21,1.75,landsat_5
2000-11-22,6.3,landsat_5
2000-12-24,23.76,landsat_5
2001-01-01,0.14,landsat_7
2001-01-17,59.03,landsat_7
2001-01-25,1.78,landsat_5
2001-02-10,11.25,landsat_5
2001-02-18,0.1,landsat_7
2001-02-26,66.45,landsat_5
2001-04-07,18.29,landsat_7
2001-04-15,0.0,landsat_5
2001-04-23,2.45,landsat_7
2001-05-01,10.3,landsat_5
2001-05-09,0.08,landsat_7
2001-06-10,2.21,landsat_7
2001-06-18,0.03,landsat_5
2001-06-26,0.11,landsat_7
2001-07-12,9.26,landsat_7
2001-07-28,1.3,landsat_7
2001-08-29,0.0,landsat_7
2001-09-06,0.29,landsat_5
2001-09-22,14.26,landsat_5
2001-10-16,0.0,landsat_7
2001-11-01,0.0,landsat_7
2001-11-09,1.33,landsat_5
2001-11-17,0.2,landsat_7
2001-12-03,0.02,landsat_7
2001-12-19,0.2,landsat_7
2001-12-27,0.09,landsat_5
2002-01-04,0.08,landsat_7
2002-01-20,0.0,landsat_7
2002-01-28,56.74,landsat_5
2002-02-05,0.14,landsat_7
2002-03-25,0.0,landsat_7
2002-04-10,0.04,landsat_7
2002-04-26,34.35,landsat_7
2002-05-04,0.1,landsat_5
2002-05-20,2.25,landsat_5
2002-06-21,0.08,landsat_5
2002-06-29,0.04,landsat_7
2002-07-07,0.0,landsat_5
2002-07-15,59.4,landsat_7
2002-07-23,4.33,landsat_5
2002-07-31,0.09,landsat_7
2002-08-24,55.56,landsat_5
2002-09-09,0.08,landsat_5
2002-09-17,60.85,landsat_7
2002-09-25,79.76,landsat_5
2002-10-27,0.07,landsat_5
2002-11-04,79.34,landsat_7
2002-11-20,0.08,landsat_7
2002-11-28,0.16,landsat_5
2002-12-30,0.08,landsat_5
2003-01-15,0.16,landsat_5
2003-01-23,7.99,landsat_7
2003-02-08,0.06,landsat_7
2003-03-04,39.24,landsat_5
2003-03-12,32.18,landsat_7
2003-03-28,9.24,landsat_7
2003-04-13,17.44,landsat_7
2003-04-21,0.0,landsat_5
2003-04-29,46.22,landsat_7
2003-05-07,17.64,landsat_5
2003-05-15,2.26,landsat_7
2003-05-31,72.9,landsat_7
2003-06-24,0.4,landsat_5
2003-07-10,77.69,landsat_5
2003-07-26,0.06,landsat_5
2003-08-19,0.06,landsat_7
2003-08-27,1.01,landsat_5
2003-09-12,0.0,landsat_5
2003-09-20,0.92,landsat_7
2003-10-06,3.81,landsat_7
2003-10-14,31.41,landsat_5
2003-11-07,37.01,landsat_7
2003-11-15,0.14,landsat_5
2003-11-23,27.17,landsat_7
2003-12-09,0.11,landsat_7
2004-01-10,30.46,landsat_7
2004-01-26,0.16,landsat_7
2004-02-11,10.99,landsat_7
2004-02-19,0.06,landsat_5
2004-02-27,0.0,landsat_7
2004-03-14,13.99,landsat_7
2004-03-22,0.0,landsat_5
2004-05-01,64.06,landsat_7
2004-06-02,21.17,landsat_7
2004-07-04,0.0,landsat_7
2004-07-20,3.25,landsat_7
2004-08-29,2.31,landsat_5
2004-09-06,13.02,landsat_7
2004-09-14,0.0,landsat_5
2004-09-22,0.0,landsat_7
2004-09-30,62.59,landsat_5
2004-10-08,0.34,landsat_7
2004-10-16,7.95,landsat_5
2004-11-01,0.0,landsat_5
2004-11-09,0.16,landsat_7
2004-11-17,0.22,landsat_5
2004-12-19,17.83,landsat_5
2004-12-27,13.41,landsat_7
2005-01-20,0.0,landsat_5
2005-01-28,0.03,landsat_7
2005-02-05,0.04,landsat_5
2005-02-13,11.03,landsat_7
2005-03-09,0.1,landsat_5
2005-03-17,0.0,landsat_7
2005-04-10,0.0,landsat_5
2005-04-18,1.0,landsat_7
2005-04-26,0.09,landsat_5
2005-05-12,2.26,landsat_5
2005-05-28,19.91,landsat_5
2005-06-05,0.18,landsat_7
2005-07-15,37.5,landsat_5
2005-07-23,9.86,landsat_7
2005-08-08,41.19,landsat_7
2005-08-16,42.74,landsat_5
2005-08-24,51.26,landsat_7
2005-09-01,0.31,landsat_5
2005-09-25,16.7,landsat_7
2005-10-03,55.02,landsat_5
2005-10-19,0.12,landsat_5
2005-10-27,5.77,landsat_7
2005-11-04,72.07,landsat_5
2005-11-12,0.16,landsat_7
2005-11-20,2.77,landsat_5
2005-11-28,62.71,landsat_7
2005-12-14,0.19,landsat_7
2005-12-30,10.57,landsat_7
2006-02-08,0.06,landsat_5
2006-02-16,0.0,landsat_7
2006-02-24,0.88,landsat_5
2006-03-04,0.06,landsat_7
2006-03-20,34.01,landsat_7
2006-04-21,0.0,landsat_7
2006-04-29,0.06,landsat_5
2006-05-07,1.62,landsat_7
2006-05-23,58.94,landsat_7
2006-05-31,9.13,landsat_5
2006-06-16,0.06,landsat_5
2006-07-10,0.77,landsat_7
2006-07-18,0.06,landsat_5
2006-07-26,0.27,landsat_7
2006-08-03,0.0,landsat_5
2006-08-11,8.08,landsat_7
2006-08-19,43.58,landsat_5
2006-09-04,40.83,landsat_5
2006-09-12,8.59,landsat_7
2006-09-20,0.0,landsat_5
2006-09-28,0.12,landsat_7
2006-10-14,8.25,landsat_7
2006-10-22,4.26,landsat_5
2006-10-30,0.04,landsat_7
2006-12-09,3.4,landsat_5
2007-01-02,1.29,landsat_7
2007-01-10,8.43,landsat_5
2007-02-03,0.43,landsat_7
2007-02-19,0.11,landsat_7
2007-03-07,59.8,landsat_7
2007-03-23,75.4,landsat_7
2007-03-31,0.0,landsat_5
2007-04-24,30.52,landsat_7
2007-05-10,16.27,landsat_7
2007-05-26,4.34,landsat_7
2007-06-19,76.7,landsat_5
2007-06-27,0.85,landsat_7
2007-07-13,5.02,landsat_7
2007-07-29,7.23,landsat_7
2007-08-14,0.0,landsat_7
2007-08-30,0.0,landsat_7
2007-09-07,0.56,landsat_5
2007-09-23,0.0,landsat_5
2007-10-01,1.8,landsat_7
2007-10-17,41.91,landsat_7
2007-11-02,0.0,landsat_7
2007-11-18,0.15,landsat_7
2007-12-04,18.1,landsat_7
2007-12-20,45.06,landsat_7
2008-01-05,0.17,landsat_7
2008-01-21,0.12,landsat_7
2008-02-14,13.26,landsat_5
2008-03-09,0.05,landsat_7
2008-03-17,0.0,landsat_5
2008-03-25,0.0,landsat_7
2008-04-02,10.56,landsat_5
2008-04-10,0.76,landsat_7
2008-04-26,67.15,landsat_7
2008-05-28,0.09,landsat_7
2008-06-13,0.0,landsat_7
2008-06-21,0.58,landsat_5
2008-06-29,22.6,landsat_7
2008-07-07,59.74,landsat_5
2008-07-15,1.51,landsat_7
2008-07-31,0.0,landsat_7
2008-08-08,5.21,landsat_5
2008-08-16,3.37,landsat_7
2008-08-24,10.06,landsat_5
2008-09-01,0.0,landsat_7
2008-09-17,18.91,landsat_7
2008-09-25,49.64,landsat_5
2008-10-03,19.15,landsat_7
2008-10-11,0.0,landsat_5
2008-10-27,0.0,landsat_5
2008-11-04,21.72,landsat_7
2008-11-12,2.23,landsat_5
2008-12-06,0.13,landsat_7
2008-12-22,0.16,landsat_7
2009-01-23,0.08,landsat_7
2009-01-31,0.12,landsat_5
2009-02-08,0.05,landsat_7
2009-02-16,0.0,landsat_5
2009-02-24,0.12,landsat_7
2009-03-04,0.27,landsat_5
2009-03-12,0.0,landsat_7
2009-04-05,0.06,landsat_5
2009-04-13,0.0,landsat_7
2009-07-02,31.49,landsat_7
2009-07-10,0.08,landsat_5
2009-07-26,30.19,landsat_5
2009-08-03,0.0,landsat_7
2009-08-11,12.07,landsat_5
2009-08-19,66.72,landsat_7
2009-08-27,10.5,landsat_5
2009-09-04,0.18,landsat_7
2009-09-20,0.06,landsat_7
2009-09-28,1.17,landsat_5
2009-10-14,0.06,landsat_5
2009-11-07,18.4,landsat_7
2009-12-25,18.83,landsat_7
2010-01-10,0.2,landsat_7
2010-01-26,0.84,landsat_7
2010-02-03,78.34,landsat_5
2010-02-19,1.74,landsat_5
2010-03-07,0.0,landsat_5
2010-04-08,4.5,landsat_5
2010-04-24,0.04,landsat_5
2010-05-02,75.14,landsat_7
2010-05-10,52.22,landsat_5
2010-05-26,0.19,landsat_5
2010-06-19,0.06,landsat_7
2010-06-27,52.64,landsat_5
2010-07-05,0.11,landsat_7
2010-07-13,62.89,landsat_5
2010-08-14,8.42,landsat_5
2010-08-30,0.03,landsat_5
2010-09-07,0.85,landsat_7
2010-09-15,10.19,landsat_5
2010-09-23,0.0,landsat_7
2010-10-09,1.78,landsat_7
2010-10-17,27.94,landsat_5
2010-10-25,52.67,landsat_7
2010-11-18,44.61,landsat_5
2010-12-28,0.01,landsat_7
2011-01-13,0.0,landsat_7
2011-01-29,23.76,landsat_7
2011-02-06,0.0,landsat_5
2011-03-02,0.84,landsat_7
2011-03-18,47.44,landsat_7
2011-03-26,0.0,landsat_5
2011-04-03,0.01,landsat_7
2011-05-13,4.03,landsat_5
2011-05-21,69.13,landsat_7
2011-06-06,6.78,landsat_7
2011-06-30,2.2,landsat_5
2011-07-16,0.1,landsat_5
2011-08-01,0.02,landsat_5
2011-08-09,63.27,landsat_7
2011-08-17,0.68,landsat_5
2011-08-25,14.99,landsat_7
2011-09-02,0.34,landsat_5
2011-09-10,6.36,landsat_7
2011-09-26,60.58,landsat_7
2011-10-04,32.98,landsat_5
2011-10-20,23.69,landsat_5
2011-10-28,3.01,landsat_7
2011-11-05,0.42,landsat_5
2012-01-16,0.15,landsat_7
2012-03-20,18.35,landsat_7
2012-04-05,35.6,landsat_7
2012-04-21,30.5,landsat_7
2012-05-07,0.22,landsat_7
2012-06-24,3.58,landsat_7
2012-07-10,0.0,landsat_7
2012-08-27,79.77,landsat_7
2012-09-12,0.12,landsat_7
2012-10-30,71.19,landsat_7
2013-01-02,0.07,landsat_7
2013-01-18,0.1,landsat_7
2013-02-03,27.95,landsat_7
2013-03-23,68.63,landsat_7
2013-04-04,0.05,landsat_8
2013-04-08,18.54,landsat_7
2013-04-09,0.1,landsat_8
2013-04-24,1.62,landsat_7
2013-05-02,0.06,landsat_8
2013-05-10,0.15,landsat_7
2013-06-19,7.52,landsat_8
2013-07-05,0.57,landsat_8
2013-07-29,68.43,landsat_7
2013-08-06,0.0,landsat_8
2013-08-14,0.0,landsat_7
2013-09-07,0.0,landsat_8
2013-09-15,1.01,landsat_7
2013-09-23,0.0,landsat_8
2013-10-01,0.0,landsat_7
2013-11-02,62.57,landsat_7
2013-11-18,53.68,landsat_7
2013-12-12,0.08,landsat_8
2013-12-20,0.0,landsat_7
2014-01-05,64.62,landsat_7
2014-01-13,29.14,landsat_8
2014-02-06,20.98,landsat_7
2014-02-22,5.11,landsat_7
2014-03-18,0.05,landsat_8
2014-04-03,0.04,landsat_8
2014-04-19,0.0,landsat_8
2014-05-13,37.66,landsat_7
2014-05-21,0.16,landsat_8
2014-05-29,5.68,landsat_7
2014-06-06,11.65,landsat_8
2014-06-22,2.56,landsat_8
2014-06-30,0.24,landsat_7
2014-08-09,2.3,landsat_8
2014-08-17,36.14,landsat_7
2014-08-25,0.03,landsat_8
2014-09-02,6.59,landsat_7
2014-09-10,64.23,landsat_8
2014-09-18,0.0,landsat_7
2014-09-26,0.17,landsat_8
2014-10-12,0.0,landsat_8
2014-10-20,12.33,landsat_7
2014-10-28,0.0,landsat_8
2014-11-13,0.06,landsat_8
2014-11-21,0.1,landsat_7
2014-11-29,0.12,landsat_8
2014-12-15,0.19,landsat_8
2014-12-31,41.9,landsat_8
2015-01-08,0.14,landsat_7
2015-01-16,64.91,landsat_8
2015-02-01,1.62,landsat_8
2015-02-25,0.03,landsat_7
2015-03-13,29.95,landsat_7
2015-03-29,0.0,landsat_7
2015-04-22,0.23,landsat_8
2015-05-08,0.09,landsat_8
2015-05-16,56.82,landsat_7
2015-05-24,0.36,landsat_8
2015-06-17,11.09,landsat_7
2015-06-25,0.6,landsat_8
2015-07-03,0.0,landsat_7
2015-07-11,0.36,landsat_8
2015-07-19,12.17,landsat_7
2015-08-04,0.06,landsat_7
2015-08-12,9.77,landsat_8
2015-08-20,0.79,landsat_7
2015-08-28,0.0,landsat_8
2015-09-05,1.95,landsat_7
2015-09-21,18.32,landsat_7
2015-09-29,15.61,landsat_8
2015-10-07,0.0,landsat_7
2015-10-15,0.0,landsat_8
2015-10-23,16.05,landsat_7
2015-10-31,0.0,landsat_8
2015-11-08,0.06,landsat_7
2015-11-16,0.16,landsat_8
2015-11-24,4.61,landsat_7
2015-12-26,56.47,landsat_7
2016-01-03,0.16,landsat_8
2016-01-11,0.51,landsat_7
2016-01-19,0.42,landsat_8
2016-02-12,0.1,landsat_7
2016-02-20,0.09,landsat_8
2016-02-28,11.64,landsat_7
2016-03-31,71.23,landsat_7
2016-04-08,11.95,landsat_8
2016-04-16,5.74,landsat_7
2016-04-24,0.03,landsat_8
2016-05-10,58.38,landsat_8
2016-05-18,32.1,landsat_7
2016-05-26,58.97,landsat_8
2016-06-19,0.06,landsat_7
2016-06-27,4.48,landsat_8
2016-07-13,1.92,landsat_8
2016-07-21,0.47,landsat_7
2016-08-06,53.24,landsat_7
2016-08-14,0.09,landsat_8
2016-08-22,0.0,landsat_7
2016-08-30,1.98,landsat_8
2016-09-07,64.31,landsat_7
2016-09-15,43.76,landsat_8
2016-09-23,4.62,landsat_7
2016-10-17,0.15,landsat_8
2016-10-25,1.61,landsat_7
2016-11-02,8.86,landsat_8
2016-11-10,0.04,landsat_7
2016-11-18,0.07,landsat_8
2016-12-04,47.73,landsat_8
2016-12-20,22.06,landsat_8
2016-12-28,79.3,landsat_7
2017-01-13,1.98,landsat_7
2017-01-29,76.83,landsat_7
2017-02-06,0.06,landsat_8
2017-03-02,0.93,landsat_7
2017-03-18,64.57,landsat_7
2017-04-11,36.85,landsat_8
2017-04-19,38.32,landsat_7
2017-05-21,14.34,landsat_7
2017-06-14,2.34,landsat_8
2017-06-22,0.06,landsat_7
2017-07-16,0.12,landsat_8
2017-08-01,0.06,landsat_8
2017-08-09,0.06,landsat_7
2017-08-17,34.66,landsat_8
2017-08-25,1.8,landsat_7
2017-09-10,0.61,landsat_7
2017-09-26,40.83,landsat_7
2017-10-04,0.54,landsat_8
2017-10-12,1.57,landsat_7
2017-10-20,0.06,landsat_8
2017-10-28,18.84,landsat_7
2017-11-21,0.14,landsat_8
2017-12-07,0.14,landsat_8
2017-12-31,0.0,landsat_7
2018-01-24,63.71,landsat_8
2018-02-09,65.86,landsat_8
2018-02-17,0.0,landsat_7
2018-04-14,0.36,landsat_8
2018-04-22,0.0,landsat_7
2018-05-08,6.15,landsat_7
2018-05-24,0.12,landsat_7
2018-06-09,20.31,landsat_7
2018-06-17,10.6,landsat_8
2018-06-25,41.51,landsat_7
2018-07-03,15.32,landsat_8
2018-07-11,61.49,landsat_7
2018-07-19,0.08,landsat_8
2018-07-27,13.0,landsat_7
2018-08-28,0.05,landsat_7
2018-09-05,0.06,landsat_8
2018-09-21,4.53,landsat_8
2018-09-29,0.0,landsat_7
2018-10-31,61.76,landsat_7
2018-11-08,62.69,landsat_8
2018-11-24,0.12,landsat_8
2018-12-10,0.03,landsat_8
2018-12-18,16.68,landsat_7
2018-12-26,0.04,landsat_8
2019-01-11,0.02,landsat_8
2019-01-19,8.13,landsat_7
2019-01-27,0.33,landsat_8
2019-02-04,15.46,landsat_7
2019-02-28,58.65,landsat_8
2019-03-08,0.02,landsat_7
2019-03-16,35.3,landsat_8
2019-03-24,0.0,landsat_7
2019-04-01,3.38,landsat_8
2019-04-09,56.26,landsat_7
2019-04-17,0.05,landsat_8
2019-04-25,0.04,landsat_7
2019-05-11,0.1,landsat_7
2019-05-27,2.62,landsat_7
2019-06-04,13.04,landsat_8
2019-06-12,1.44,landsat_7
2019-06-28,8.55,landsat_7
2019-07-06,47.18,landsat_8
2019-07-30,8.55,landsat_7
2019-08-15,0.05,landsat_7
2019-08-31,73.24,landsat_7
2019-09-08,71.75,landsat_8
2019-09-16,77.14,landsat_7
2019-09-24,0.0,landsat_8
2019-10-18,74.99,landsat_7
2019-10-26,22.02,landsat_8
2019-11-03,0.03,landsat_7
2019-11-11,2.91,landsat_8
2019-12-05,0.06,landsat_7
2019-12-29,0.21,landsat_8
2020-01-22,0.28,landsat_7
2020-01-30,0.01,landsat_8
2020-02-15,0.24,landsat_8
2020-02-23,0.0,landsat_7
2020-03-02,55.21,landsat_8
2020-03-18,0.0,landsat_8
2020-03-26,0.0,landsat_7
2020-04-11,1.06,landsat_7
2020-04-19,0.12,landsat_8
2020-05-05,0.0,landsat_8
2020-05-13,0.0,landsat_7
2020-05-21,0.29,landsat_8
2020-06-06,53.93,landsat_8
2020-06-14,0.36,landsat_7
2020-07-08,63.55,landsat_8
2020-07-16,2.9,landsat_7
2020-08-01,2.07,landsat_7
2020-08-09,3.18,landsat_8
2020-08-17,76.59,landsat_7
2020-09-26,51.12,landsat_8
2020-10-04,0.0,landsat_7
2020-11-05,5.79,landsat_7
2020-11-21,14.99,landsat_7
2020-11-29,0.17,landsat_8
2020-12-15,0.0,landsat_8
2020-12-23,0.13,landsat_7
2021-01-08,0.09,landsat_7
2021-01-24,0.06,landsat_7
2021-02-17,30.45,landsat_8
2021-02-25,0.4,landsat_7
2021-03-05,0.06,landsat_8
2021-03-13,0.0,landsat_7
2021-03-21,0.09,landsat_8
2021-03-29,7.39,landsat_7
2021-04-06,8.05,landsat_8
2021-04-30,72.02,landsat_7
2021-05-16,57.94,landsat_7
2021-05-24,61.78,landsat_8
2021-06-09,67.36,landsat_8
2021-06-17,1.12,landsat_7
2021-07-27,0.05,landsat_8
2021-08-12,9.04,landsat_8
2021-08-20,79.98,landsat_7
2021-09-13,3.08,landsat_8
2021-09-21,33.47,landsat_7
2021-09-29,2.88,landsat_8
2021-10-07,0.0,landsat_7
2021-10-15,44.19,landsat_8
2021-10-23,0.0,landsat_7
2021-10-31,15.17,landsat_8
2021-11-08,0.08,landsat_7
2021-11-16,0.03,landsat_8
2021-11-24,0.24,landsat_7
2021-12-26,60.84,landsat_7
2022-01-11,0.25,landsat_7
2022-01-27,0.05,landsat_7
2022-02-12,75.8,landsat_7
2022-02-20,0.03,landsat_8
2022-02-28,0.0,landsat_7
2022-03-08,0.0,landsat_8
2022-03-16,73.44,landsat_7
2022-04-01,33.75,landsat_7
2022-04-25,10.67,landsat_8
2022-05-11,30.73,landsat_8
2022-05-16,22.29,landsat_7
2022-06-28,0.56,landsat_8
2022-07-06,59.88,landsat_7
2022-07-14,4.32,landsat_8
2022-07-23,0.14,landsat_7
2022-07-30,0.12,landsat_8
2022-08-09,0.12,landsat_7
2022-08-15,68.17,landsat_8
2022-08-26,0.17,landsat_7
2022-08-31,4.54,landsat_8
2022-09-12,79.05,landsat_7
2022-09-16,0.0,landsat_8
2022-09-29,9.72,landsat_7
